measure	vote	vote
hr-250	House 109-1-485	2005-09-21, after the last version committed (2005-01-06)
hr-310	House 109-1-35	2005-02-16, after the last version committed (2005-01-25)
hr-324	House 109-1-33	2005-02-15, after the last version committed (2005-01-25)
hr-366	House 109-1-153	2005-05-04, after the last version committed (2005-03-17)
hr-366	House 109-1-154	2005-05-04, after the last version committed (2005-03-17)
hr-418	House 109-1-28	2005-02-10, after the last version committed (2005-01-26)
hr-418	House 109-1-29	2005-02-10, after the last version committed (2005-01-26)
hr-418	House 109-1-30	2005-02-10, after the last version committed (2005-01-26)
hr-418	House 109-1-31	2005-02-10, after the last version committed (2005-01-26)
hr-420	House 109-1-551	2005-10-27, after the last version committed (2005-06-14)
hr-420	House 109-1-552	2005-10-27, after the last version committed (2005-06-14)
hr-420	House 109-1-553	2005-10-27, after the last version committed (2005-06-14)
hr-458	House 109-1-324	2005-06-28, after the last version committed (2005-04-13)
hr-525	House 109-1-424	2005-07-26, after the last version committed (2005-04-13)
hr-525	House 109-1-425	2005-07-26, after the last version committed (2005-04-13)
hr-525	House 109-1-426	2005-07-26, after the last version committed (2005-04-13)
hr-541	House 109-1-97	2005-04-12, after the last version committed (2005-02-02)
hr-548	House 109-1-22	2005-02-08, after the last version committed (2005-02-02)
hr-554	House 109-1-529	2005-10-19, after the last version committed (2005-06-14)
hr-554	House 109-1-530	2005-10-19, after the last version committed (2005-06-14)
hr-554	House 109-1-531	2005-10-19, after the last version committed (2005-06-14)
hr-554	House 109-1-532	2005-10-19, after the last version committed (2005-06-14)
hr-554	House 109-1-533	2005-10-19, after the last version committed (2005-06-14)
hr-609	House 109-2-71	2006-03-29, after the last version committed (2005-09-22)
hr-609	House 109-2-72	2006-03-29, after the last version committed (2005-09-22)
hr-609	House 109-2-77	2006-03-30, after the last version committed (2005-09-22)
hr-609	House 109-2-78	2006-03-30, after the last version committed (2005-09-22)
hr-609	House 109-2-79	2006-03-30, after the last version committed (2005-09-22)
hr-609	House 109-2-80	2006-03-30, after the last version committed (2005-09-22)
hr-609	House 109-2-81	2006-03-30, after the last version committed (2005-09-22)
hr-627	House 109-1-171	2005-05-16, after the last version committed (2005-02-08)
hr-683	House 109-1-109	2005-04-19, after the last version committed (2005-03-17)
hr-739	House 109-1-369	2005-07-12, after the last version committed (2005-04-18)
hr-740	House 109-1-370	2005-07-12, after the last version committed (2005-04-18)
hr-741	House 109-1-371	2005-07-12, after the last version committed (2005-04-21)
hr-742	House 109-1-372	2005-07-12, after the last version committed (2005-05-20)
hr-744	House 109-1-200	2005-05-23, after the last version committed (2005-02-10)
hr-748	House 109-1-141	2005-04-27, after the last version committed (2005-04-21)
hr-748	House 109-1-142	2005-04-27, after the last version committed (2005-04-21)
hr-748	House 109-1-143	2005-04-27, after the last version committed (2005-04-21)
hr-748	House 109-1-144	2005-04-27, after the last version committed (2005-04-21)
hr-889	House 109-1-473	2005-09-15, after the last version committed (2005-07-29)
hr-889	House 109-1-474	2005-09-15, after the last version committed (2005-07-29)
hr-889	House 109-2-320	2006-06-27, after the last version committed (2005-07-29)
hr-902	House 109-1-136	2005-04-27, after the last version committed (2005-04-13)
hr-1053	House 109-2-24	2006-03-08, after the last version committed (2005-03-02)
hr-1065	House 109-1-592	2005-11-16, after the last version committed (2005-09-30)
hr-1096	House 109-2-14	2006-02-28, after the last version committed (2005-11-10)
hr-1176	House 109-2-525	2006-12-05, after the last version committed (2006-03-15)
hr-1185	House 109-1-157	2005-05-04, after the last version committed (2005-04-29)
hr-1224	House 109-1-206	2005-05-24, after the last version committed (2005-05-16)
hr-1259	House 109-2-16	2006-02-28, after the last version committed (2005-03-10)
hr-1270	House 109-1-80	2005-03-16, after the last version committed (2005-03-14)
hr-1279	House 109-1-165	2005-05-11, after the last version committed (2005-05-05)
hr-1279	House 109-1-166	2005-05-11, after the last version committed (2005-05-05)
hr-1279	House 109-1-167	2005-05-11, after the last version committed (2005-05-05)
hr-1279	House 109-1-168	2005-05-11, after the last version committed (2005-05-05)
hr-1461	House 109-1-541	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-542	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-543	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-544	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-545	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-546	2005-10-26, after the last version committed (2005-09-16)
hr-1461	House 109-1-547	2005-10-26, after the last version committed (2005-09-16)
hr-1544	House 109-1-169	2005-05-12, after the last version committed (2005-04-28)
hr-1544	House 109-1-170	2005-05-12, after the last version committed (2005-04-28)
hr-1691	House 109-1-561	2005-11-02, after the last version committed (2005-04-19)
hr-1751	House 109-1-583	2005-11-09, after the last version committed (2005-11-07)
hr-1751	House 109-1-584	2005-11-09, after the last version committed (2005-11-07)
hr-1751	House 109-1-585	2005-11-09, after the last version committed (2005-11-07)
hr-1817	House 109-1-183	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-184	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-185	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-186	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-187	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-188	2005-05-18, after the last version committed (2005-04-26)
hr-1817	House 109-1-189	2005-05-18, after the last version committed (2005-04-26)
hr-1973	House 109-1-571	2005-11-07, after the last version committed (2005-10-28)
hr-2107	House 109-1-173	2005-05-16, after the last version committed (2005-05-04)
hr-2326	House 109-1-242	2005-06-13, after the last version committed (2005-05-12)
hr-2389	House 109-2-384	2006-07-19, after the last version committed (2005-05-17)
hr-2389	House 109-2-385	2006-07-19, after the last version committed (2005-05-17)
hr-2475	House 109-1-289	2005-06-21, after the last version committed (2005-05-19)
hr-2475	House 109-1-290	2005-06-21, after the last version committed (2005-05-19)
hr-2520	House 109-1-205	2005-05-24, after the last version committed (2005-05-23)
hr-2520	House 109-1-664	2005-12-17, after the last version committed (2005-05-23)
hr-2601	House 109-1-385	2005-07-19, after the last version committed (2005-07-13)
hr-2601	House 109-1-386	2005-07-19, after the last version committed (2005-07-13)
hr-2601	House 109-1-387	2005-07-19, after the last version committed (2005-07-13)
hr-2601	House 109-1-388	2005-07-19, after the last version committed (2005-07-13)
hr-2601	House 109-1-389	2005-07-19, after the last version committed (2005-07-13)
hr-2601	House 109-1-390	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-391	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-392	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-393	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-394	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-395	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-396	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-397	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-398	2005-07-20, after the last version committed (2005-07-13)
hr-2601	House 109-1-399	2005-07-20, after the last version committed (2005-07-13)
hr-2745	House 109-1-270	2005-06-16, after the last version committed (2005-06-10)
hr-2745	House 109-1-271	2005-06-16, after the last version committed (2005-06-10)
hr-2745	House 109-1-272	2005-06-16, after the last version committed (2005-06-10)
hr-2745	House 109-1-274	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-275	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-276	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-277	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-278	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-279	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-280	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-281	2005-06-17, after the last version committed (2005-06-10)
hr-2745	House 109-1-282	2005-06-17, after the last version committed (2005-06-10)
hr-2829	House 109-2-34	2006-03-09, after the last version committed (2005-06-09)
hr-2829	House 109-2-35	2006-03-09, after the last version committed (2005-06-09)
hr-2829	House 109-2-36	2006-03-09, after the last version committed (2005-06-09)
hr-2829	House 109-2-37	2006-03-09, after the last version committed (2005-06-09)
hr-2829	House 109-2-38	2006-03-09, after the last version committed (2005-06-09)
hr-2830	House 109-1-634	2005-12-15, after the last version committed (2005-06-09)
hr-2830	House 109-1-635	2005-12-15, after the last version committed (2005-06-09)
hr-2830	House 109-2-122	2006-05-03, after the last version committed (2005-06-09)
hr-2830	House 109-2-22	2006-03-08, after the last version committed (2005-06-09)
hr-2830	House 109-2-399	2006-07-25, after the last version committed (2005-06-09)
hr-2830	House 109-2-93	2006-04-06, after the last version committed (2005-06-09)
hr-2864	House 109-1-376	2005-07-14, after the last version committed (2005-06-24)
hr-2864	House 109-1-377	2005-07-14, after the last version committed (2005-06-24)
hr-2864	House 109-1-378	2005-07-14, after the last version committed (2005-06-24)
hr-2864	House 109-2-447	2006-09-14, after the last version committed (2005-06-24)
hr-2894	House 109-1-427	2005-07-26, after the last version committed (2005-06-14)
hr-2990	House 109-2-367	2006-07-12, after the last version committed (2005-06-20)
hr-2990	House 109-2-368	2006-07-12, after the last version committed (2005-06-20)
hr-3070	House 109-1-415	2005-07-22, after the last version committed (2005-07-18)
hr-3070	House 109-1-416	2005-07-22, after the last version committed (2005-07-18)
hr-3100	House 109-1-374	2005-07-14, after the last version committed (2005-07-12)
hr-3132	House 109-1-468	2005-09-14, after the last version committed (2005-09-09)
hr-3132	House 109-1-469	2005-09-14, after the last version committed (2005-09-09)
hr-3132	House 109-1-470	2005-09-14, after the last version committed (2005-09-09)
hr-3169	House 109-1-457	2005-09-07, after the last version committed (2005-06-30)
hr-3199	House 109-1-403	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-404	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-405	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-406	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-407	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-408	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-409	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-410	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-411	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-412	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-413	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-414	2005-07-21, after the last version committed (2005-07-11)
hr-3199	House 109-1-626	2005-12-14, after the last version committed (2005-07-11)
hr-3199	House 109-1-627	2005-12-14, after the last version committed (2005-07-11)
hr-3199	Senate 109-1-358	2005-12-16, after the last version committed (2005-07-11)
hr-3199	Senate 109-2-26	2006-03-01, after the last version committed (2005-07-11)
hr-3199	Senate 109-2-27	2006-03-01, after the last version committed (2005-07-11)
hr-3199	Senate 109-2-28	2006-03-01, after the last version committed (2005-07-11)
hr-3199	Senate 109-2-29	2006-03-02, after the last version committed (2005-07-11)
hr-3200	House 109-1-420	2005-07-26, after the last version committed (2005-07-11)
hr-3283	House 109-1-421	2005-07-26, after the last version committed (2005-07-14)
hr-3283	House 109-1-436	2005-07-27, after the last version committed (2005-07-14)
hr-3283	House 109-1-437	2005-07-27, after the last version committed (2005-07-14)
hr-3339	House 109-1-431	2005-07-26, after the last version committed (2005-07-19)
hr-3496	House 109-2-376	2006-07-17, after the last version committed (2006-04-26)
hr-3505	House 109-2-26	2006-03-08, after the last version committed (2006-02-16)
hr-3548	House 109-1-557	2005-11-01, after the last version committed (2005-07-28)
hr-3649	House 109-1-466	2005-09-13, after the last version committed (2005-09-06)
hr-3650	House 109-1-456	2005-09-07, after the last version committed (2005-09-06)
hr-3668	House 109-1-462	2005-09-08, after the last version committed (2005-09-07)
hr-3669	House 109-1-461	2005-09-08, after the last version committed (2005-09-07)
hr-3729	House 109-2-377	2006-07-17, after the last version committed (2005-09-13)
hr-3824	House 109-1-505	2005-09-29, after the last version committed (2005-09-27)
hr-3824	House 109-1-506	2005-09-29, after the last version committed (2005-09-27)
hr-3894	House 109-1-511	2005-10-06, after the last version committed (2005-09-26)
hr-3895	House 109-1-513	2005-10-06, after the last version committed (2005-09-26)
hr-3896	House 109-1-514	2005-10-06, after the last version committed (2005-09-26)
hr-3945	House 109-1-549	2005-10-27, after the last version committed (2005-09-29)
hr-3989	House 109-1-558	2005-11-01, after the last version committed (2005-10-06)
hr-4054	House 109-2-19	2006-03-07, after the last version committed (2005-10-07)
hr-4061	House 109-1-560	2005-11-02, after the last version committed (2005-10-17)
hr-4128	House 109-1-564	2005-11-03, after the last version committed (2005-10-31)
hr-4128	House 109-1-565	2005-11-03, after the last version committed (2005-10-31)
hr-4128	House 109-1-566	2005-11-03, after the last version committed (2005-10-31)
hr-4128	House 109-1-567	2005-11-03, after the last version committed (2005-10-31)
hr-4128	House 109-1-568	2005-11-03, after the last version committed (2005-10-31)
hr-4157	House 109-2-414	2006-07-27, after the last version committed (2006-07-26)
hr-4157	House 109-2-415	2006-07-27, after the last version committed (2006-07-26)
hr-4157	House 109-2-416	2006-07-27, after the last version committed (2006-07-26)
hr-4167	House 109-2-27	2006-03-08, after the last version committed (2006-02-28)
hr-4167	House 109-2-28	2006-03-08, after the last version committed (2006-02-28)
hr-4167	House 109-2-29	2006-03-08, after the last version committed (2006-02-28)
hr-4167	House 109-2-30	2006-03-08, after the last version committed (2006-02-28)
hr-4167	House 109-2-31	2006-03-08, after the last version committed (2006-02-28)
hr-4167	House 109-2-32	2006-03-08, after the last version committed (2006-02-28)
hr-4192	House 109-2-23	2006-03-08, after the last version committed (2005-12-06)
hr-4297	House 109-1-619	2005-12-08, after the last version committed (2005-11-10)
hr-4297	House 109-1-620	2005-12-08, after the last version committed (2005-11-10)
hr-4297	House 109-1-621	2005-12-08, after the last version committed (2005-11-10)
hr-4297	House 109-2-109	2006-04-27, after the last version committed (2005-11-10)
hr-4297	House 109-2-121	2006-05-03, after the last version committed (2005-11-10)
hr-4297	House 109-2-134	2006-05-10, after the last version committed (2005-11-10)
hr-4297	House 109-2-135	2006-05-10, after the last version committed (2005-11-10)
hr-4297	House 109-2-67	2006-03-16, after the last version committed (2005-11-10)
hr-4297	House 109-2-7	2006-02-08, after the last version committed (2005-11-10)
hr-4297	House 109-2-74	2006-03-29, after the last version committed (2005-11-10)
hr-4297	House 109-2-94	2006-04-06, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-10	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-118	2006-05-11, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-14	2006-02-13, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-15	2006-02-13, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-16	2006-02-14, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-17	2006-02-14, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-18	2006-02-14, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-19	2006-02-14, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-20	2006-02-14, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-3	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-4	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-5	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-6	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-7	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-8	2006-02-02, after the last version committed (2005-11-10)
hr-4297	Senate 109-2-9	2006-02-02, after the last version committed (2005-11-10)
hr-4388	House 109-1-617	2005-12-07, after the last version committed (2005-11-18)
hr-4659	Senate 109-2-11	2006-02-02, after the last version committed (2006-01-31)
hr-4681	House 109-2-181	2006-05-23, after the last version committed (2006-05-15)
hr-4761	House 109-2-354	2006-06-29, after the last version committed (2006-06-26)
hr-4761	House 109-2-355	2006-06-29, after the last version committed (2006-06-26)
hr-4761	House 109-2-356	2006-06-29, after the last version committed (2006-06-26)
hr-4804	House 109-2-398	2006-07-25, after the last version committed (2006-07-19)
hr-4843	House 109-2-321	2006-06-27, after the last version committed (2006-03-02)
hr-4973	House 109-2-322	2006-06-27, after the last version committed (2006-04-06)
hr-4973	House 109-2-323	2006-06-27, after the last version committed (2006-04-06)
hr-4973	House 109-2-324	2006-06-27, after the last version committed (2006-04-06)
hr-4973	House 109-2-325	2006-06-27, after the last version committed (2006-04-06)
hr-5020	House 109-2-106	2006-04-26, after the last version committed (2006-04-06)
hr-5020	House 109-2-107	2006-04-26, after the last version committed (2006-04-06)
hr-5020	House 109-2-108	2006-04-26, after the last version committed (2006-04-06)
hr-5059	House 109-2-471	2006-09-25, after the last version committed (2006-03-30)
hr-5062	House 109-2-472	2006-09-25, after the last version committed (2006-03-30)
hr-5121	House 109-2-400	2006-07-25, after the last version committed (2006-07-20)
hr-5228	House 109-2-294	2006-06-20, after the last version committed (2006-04-27)
hr-5319	House 109-2-405	2006-07-26, after the last version committed (2006-05-09)
hr-5337	House 109-2-404	2006-07-26, after the last version committed (2006-07-19)
hr-5449	House 109-2-233	2006-06-07, after the last version committed (2006-05-22)
hr-5534	House 109-2-396	2006-07-24, after the last version committed (2006-06-28)
hr-5602	House 109-2-519	2006-11-13, after the last version committed (2006-06-13)
hr-5638	House 109-2-312	2006-06-22, after the last version committed (2006-06-19)
hr-5638	House 109-2-313	2006-06-22, after the last version committed (2006-06-19)
hr-5638	House 109-2-314	2006-06-22, after the last version committed (2006-06-19)
hr-5638	House 109-2-315	2006-06-22, after the last version committed (2006-06-19)
hr-5682	House 109-2-407	2006-07-26, after the last version committed (2006-07-21)
hr-5682	House 109-2-408	2006-07-26, after the last version committed (2006-07-21)
hr-5682	House 109-2-409	2006-07-26, after the last version committed (2006-07-21)
hr-5682	House 109-2-410	2006-07-26, after the last version committed (2006-07-21)
hr-5682	House 109-2-411	2006-07-26, after the last version committed (2006-07-21)
hr-5682	House 109-2-541	2006-12-08, after the last version committed (2006-07-21)
hr-5682	Senate 109-2-270	2006-11-16, after the last version committed (2006-07-21)
hr-5683	House 109-2-386	2006-07-19, after the last version committed (2006-06-26)
hr-5852	House 109-2-397	2006-07-25, after the last version committed (2006-07-20)
hr-5970	House 109-2-424	2006-07-29, after the last version committed (2006-07-28)
hr-5970	House 109-2-425	2006-07-29, after the last version committed (2006-07-28)
hr-5970	Senate 109-2-229	2006-08-03, after the last version committed (2006-07-28)
hr-6095	House 109-2-467	2006-09-21, after the last version committed (2006-09-19)
hr-6095	House 109-2-468	2006-09-21, after the last version committed (2006-09-19)
hr-6099	House 109-2-526	2006-12-06, after the last version committed (2006-09-19)
hr-6111	House 109-2-532	2006-12-08, after the last version committed (2006-12-05)
hr-6111	House 109-2-533	2006-12-08, after the last version committed (2006-12-05)
hr-6111	Senate 109-2-277	2006-12-09, after the last version committed (2006-12-05)
hr-6111	Senate 109-2-278	2006-12-09, after the last version committed (2006-12-05)
hr-6111	Senate 109-2-279	2006-12-09, after the last version committed (2006-12-05)
hr-6375	House 109-2-535	2006-12-08, after the last version committed (2006-12-05)
hres-22	House 109-1-140	2005-04-27, after the last version committed (2005-01-04)
hres-38	House 109-1-574	2005-11-08, after the last version committed (2005-01-06)
hres-46	House 109-1-20	2005-02-08, after the last version committed (2005-01-25)
hres-56	House 109-1-17	2005-02-02, after the last version committed (2005-02-01)
hres-57	House 109-1-18	2005-02-02, after the last version committed (2005-02-01)
hres-75	House 109-1-27	2005-02-10, after the last version committed (2005-02-09)
hres-95	House 109-1-34	2005-02-16, after the last version committed (2005-02-15)
hres-133	House 109-1-54	2005-03-08, after the last version committed (2005-03-02)
hres-135	House 109-1-66	2005-03-14, after the last version committed (2005-03-03)
hres-142	House 109-1-163	2005-05-10, after the last version committed (2005-03-08)
hres-148	House 109-1-95	2005-04-06, after the last version committed (2005-03-10)
hres-151	House 109-1-69	2005-03-15, after the last version committed (2005-03-14)
hres-193	House 109-1-162	2005-05-10, after the last version committed (2005-04-06)
hres-195	House 109-1-156	2005-05-04, after the last version committed (2005-04-06)
hres-199	House 109-1-322	2005-06-27, after the last version committed (2005-04-06)
hres-202	House 109-1-100	2005-04-13, after the last version committed (2005-04-12)
hres-208	House 109-1-114	2005-04-20, after the last version committed (2005-04-12)
hres-210	House 109-1-150	2005-04-28, after the last version committed (2005-04-26)
hres-211	House 109-1-104	2005-04-14, after the last version committed (2005-04-13)
hres-211	House 109-1-105	2005-04-14, after the last version committed (2005-04-13)
hres-219	House 109-1-112	2005-04-20, after the last version committed (2005-04-19)
hres-228	House 109-1-152	2005-05-03, after the last version committed (2005-04-21)
hres-235	House 109-1-138	2005-04-27, after the last version committed (2005-04-26)
hres-236	House 109-1-139	2005-04-27, after the last version committed (2005-04-26)
hres-258	House 109-1-159	2005-05-05, after the last version committed (2005-05-04)
